"ACO_ID","med_ACI","mean_ACI","UpdatedBnchmk","N_AB","BnchmkMinExp","GenSaveLoss","ABtotBnchmk","ABtotExp","Exp_From_Climate","SavLoss_Climate","SavLoss_Climate_perc"
"A2706",0.502636802040278,0.509524341841454,11611,9297,11248680,11248680,105730652,94481972,850337.748,12099017.748,0.0755944473484885
"A2710",0.45771464175354,0.486767484348546,13043,13331,-2983692,-2983692,168355997,171339688,1542057.192,-1441633.808,-0.516828879120231
"A2714",0.389701835095058,0.425978059239554,11845,7881,-1072847,0,90977562,92050410,828453.69,-244394.310000002,-0.772200220534706
"A2729",0.369095774818598,0.395354830797365,11695,77818,21190611,21190611,887038743,865848131,7792633.179,28983245.179,0.367739947611705
"A2735",0.325168843847283,0.349253002986561,10901,39412,-1419424,0,418084300,419503724,3775533.516,2356109.51599997,-2.65990536724754
"A2754",0.301895536791982,0.318445769321463,11114,9694,12464017,12464017,104963673,92499657,832496.913,13296512.913,0.0667919429987942
"A2762",0.42597101098008,0.471899426271748,10462,9193,-3477406,0,94129281,97606687,878460.183,-2598945.817,-0.252619390143112
"A2765",0.343398857319302,0.375067604452397,11388,12174,-1183524,0,136200272,137383796,1236454.164,52930.1640000045,-1.04472251006317
"A2772",0.361307190463701,0.390348039391406,9601,10899,12966525,12966525,102928091,89961566,809654.094,13776179.094,0.0624418719741794
"A2773",0.407815571877922,0.425491147916753,10885,6693,8224228,8224228,71446732,63222504,569002.536,8793230.536,0.0691861334583621
"A2778",0.299447736530926,0.342006303081447,10163,18779,4708995,4708995,186501520,181792525,1636132.725,6345127.72499999,0.347448388668919
"A2783",0.294758462182439,0.334111350800619,11393,22701,13020604,13020604,251178708,238158104,2143422.936,15164026.936,0.16461778086485
"A2801",0.354526278904347,0.394841267236772,11964,6429,4362303,4362303,74952357,70590055,635310.495,4997612.495,0.145636260250607
"A2802",0.380593775965324,0.41261242902435,12956,6281,8246812,8246812,78582870,70336058,633024.522,8879836.522,0.0767599069798123
"A2809",0.433017076560966,0.460220716050508,10600,5983,5746231,5746231,61616913,55870683,502836.147,6249066.147,0.0875069496858027
"A2811",0.35091924887339,0.376092683313119,9337,29149,17520514,17520514,267565287,250044773,2250402.957,19770916.957,0.1284438890891
"A2831",0.382417268746606,0.410213523169476,10545,15616,11363866,11363866,159617439,148253573,1334282.157,12698148.157,0.117414457104651
"A2833",0.431629041629989,0.432479380550905,9736,7864,2021210,2021210,74834488,72813278,655319.502,2676529.502,0.324221383230839
"A2840",0.357263027267266,0.396982338326361,10183,6581,3956293,3956293,65046511,61090218,549811.962,4506104.962,0.138971497308212
"A2841",0.263703790644765,0.314678337086698,10567,14624,-1060972,0,150921356,151982329,1367840.961,306867.960999995,-1.28923285534396
"A2844",0.298088934786004,0.31490929347855,12897,22691,12768843,12768843,286071416,273302574,2459723.166,15228565.166,0.192634694153574
"A2880",0.436718567051436,0.460452695651025,12383,18906,16914833,16914833,227507069,210592236,1895330.124,18810163.124,0.112051364858288
"A2909",0.34492627645612,0.377543422525533,11406,13405,9197893,9197893,149608969,140411076,1263699.684,10461592.684,0.137390126630086
"A2916",0.458372043116615,0.482385693873338,10413,17278,18058076,18058076,175550400,157492324,1417430.916,19475506.916,0.0784929089898619
"A2918",0.466520060924922,0.533379729536253,12031,14816,26232749,26232749,173689954,147457206,1327114.854,27559862.854,0.0505899650090047
"A2920",0.399559763722677,0.415304895896474,10317,8861,6312653,6312653,88637496,82324843,740923.587,7053576.587,0.117371188785444
"A2952",0.487906377179308,0.501723762664023,14018,4804,7734152,7734152,65492051,57757899,519821.091,8253973.091,0.0672111294166443
"A2973",0.37859242629865,0.405781867314566,30721,12808,7221974,7221974,350488624,343266650,3089399.85,10311373.85,0.427777758546351
"A2975",0.404620146161821,0.431512411168864,10456,57616,9082286,0,585795684,576713398,5190420.582,14272706.582,0.571488343573415
"A3004",0.340366891052783,0.371972502285456,13409,7652,1563960,0,99451425,97887466,880987.194,2444946.19400001,0.563304812143537
"A3016",0.419188427951164,0.445616220912431,11057,23807,5536032,0,255861935,250325902,2252933.118,7788966.118,0.406958290342253
"A3029",0.460252691593898,0.486476759223521,11671,63448,36563073,36563073,722242639,685679566,6171116.094,42734189.094,0.16878001731419
"A3030",0.318144506681156,0.349066880590497,13857,73226,32889164,32889164,990659686,957770522,8619934.698,41509098.698,0.262090416709891
